,Title,tag_list,tag_list2,url,jaccard_sim,neg_jaccard_sim
23,iPage Website builder,"OfficeProfessionals,MiddleAge(35-55yrs.),OfficeProfessionals,MiddleAge(35-55yrs.),Male,Female,LowMiddleClass,MiddleClass,HigherMiddleClass,Young(16-35yrs.),GrayHair,WhiteHair","Old(55yrs.above),Bald,RecedingHairline",https://www.youtube.com/watch?v=zrIe6n-ZK_E,0.09090909090909091,0.0
10,CASIO G-SHOCK,"Male,Wearing_Casuals,Young(16-35yrs.),Male,Wearing_Casuals,Young(16-35yrs.),Students,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),VisibleCheekBones(Fit),BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks,DenseBeard,Mustaches","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,Specatacles,Sunglasses,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,BigNose,BigLips,BushyEyeBrows,DarkCircles,HeavyMakeup,Bald,StraightHair,WavyHair,Bangs,RecedingHairline,DarkCircleundereyes",https://www.youtube.com/watch?v=-eUiU2J6szw,0.058823529411764705,0.0
43,Tanishq - Rivaah Brides,"Female,Wearing_Earrings,Wearing_Necklace,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Female,Wearing_Earrings,Wearing_Necklace,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Male,OfficeProfessionals,Wearing_Lipstick,HigherMiddleClass,Specatacles,Young(16-35yrs.),Bald,RecedingHairline,GrayHair,WhiteHair","LowIncomeGroup,Kids(1-15yrs.),ColourHighlights",https://www.youtube.com/watch?v=lmI-jd0X04Y,0.058823529411764705,0.0
19,Gucci Presents: MenÕs ,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,HigherMiddleClass,Old(55yrs.above),RecedingHairline,NoBeard,SlightBeard","Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,MiddleClass,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BigNose,BigLips,HeavyMakeup,ColourHighlights,ColourStreaks",https://www.youtube.com/watch?v=u9FEg5qur14,0.05555555555555555,0.0
26,L'Oreal Paris Revitalift Crystal,"Female,Wearing_Lipstick,Wearing_Necklace,Old(55yrs.above),RosyCheeks,DarkCircles,HeavyMakeup,Bald,RecedingHairline,WhiteHair,DarkCircleundereyes,Female,Wearing_Lipstick,Wearing_Necklace,Old(55yrs.above),RosyCheeks,DarkCircles,HeavyMakeup,Bald,RecedingHairline,WhiteHair,DarkCircleundereyes,Wearing_Earrings,MiddleClass,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),GrayHair","Students,Kids(1-15yrs.),Young(16-35yrs.),DenseBeard",https://www.youtube.com/watch?v=vvV_zTy5We8,0.05555555555555555,0.0
44,Tanishq Solitaires,"Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,Wearing_Lipstick,Wearing_Formals,Specatacles,Young(16-35yrs.),GrayHair,WhiteHair","LowIncomeGroup,Kids(1-15yrs.)",https://www.youtube.com/watch?v=ooh6pgQSff8,0.05555555555555555,0.0
14,Deepika Padukone | Tanishq ,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Male,Wearing_Lipstick,Wearing_Formals,Specatacles,Young(16-35yrs.),GrayHair,WhiteHair,ColourHighlights","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)",https://www.youtube.com/watch?v=-Fn0ecHHmOk,0.05263157894736842,0.0
24,Kopaka Men's Wear,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,HigherMiddleClass,Young(16-35yrs.),StraightHair,NoBeard,SlightBeard,DenseBeard,Mustaches","Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BigNose,BigLips,BushyEyeBrows,HeavyMakeup",https://www.youtube.com/watch?v=qlJiMiOnXkg,0.05263157894736842,0.0
40,Rolex Advert Men,"Male,OfficeProfessionals,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,NoBeard,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,NoBeard,DenseBeard,Mustaches,HigherMiddleClass,Specatacles,SlightBeard","Students,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),RosyCheeks",https://www.youtube.com/watch?v=caoeIr8d1fU,0.05263157894736842,0.0
2,Apple Watch,"OfficeProfessionals,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Advert,OfficeProfessionals,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Male,Female,Wearing_Earrings,HigherMiddleClass,Young(16-35yrs.),ChubbyFace,VisibleCheekBones(Fit),Bald,RecedingHairline,GrayHair,WhiteHair,Advert","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)",https://www.youtube.com/watch?v=IC9urbiVp4M,0.05,0.0
